Material_homologado,Familia,Cantidad_base,Costo_base,Estado
Tap Mel 0164 Pe 22,Otros insumos,1.25,455.75,Reconstruido/observado
"Tapa Hg 1/2""",Otros insumos,0.5,109.29,Reconstruido/observado
Tapa P Caj Oct Con,Otros insumos,1.5,242.92499999999998,Reconstruido/observado
Tapa Tor Text13Mm,Otros insumos,1.75,557.5149999999999,Reconstruido/observado
Tapa Torn Anthraci,Otros insumos,0.25,81.8575,Reconstruido/observado
Tapa Torn Blanco,Otros insumos,0.25,684.735,Reconstruido/observado
Tapa Torn Concrete,Otros insumos,0.75,232.965,Reconstruido/observado
Tapa Torn Roble Ru,Otros insumos,0.25,725.2199999999999,Reconstruido/observado
Tapa Torn Seda Gio,Otros insumos,0.25,800.4425,Reconstruido/observado
Tapa Torni Caramel,Otros insumos,0.25,626.105,Reconstruido/observado
Tapa Torwengue0.13,Otros insumos,0.25,142.7,Reconstruido/observado
Tapa canoa alto caudal,Plomería pluvial,0.75,940.8558333333334,Reconstruido/observado
Tapacanto,Carpintería y mobiliario,139.33333333333334,21636.78,Reconstruido/observado
Tapator Chantilly,Otros insumos,0.25,155.9725,Reconstruido/observado
Tapatorsilver 13Mm,Otros insumos,0.5,201.32499999999996,Reconstruido/observado
Tapeta / canto mobiliario,Carpintería y mobiliario,420.6666666666667,79624.44666666667,Reconstruido/observado
Tarugos 3/8 33Pz,Otros insumos,0.5,439.37999999999994,Reconstruido/observado
Tarugos 5/16 100 P,Otros insumos,0.5,613.275,Reconstruido/observado
Tarugos 5/16 33Pz,Otros insumos,0.5,497.345,Reconstruido/observado
Tc Plana 1 4X1 3 4,Otros insumos,0.5,385.84,Reconstruido/observado
Tc Plana 3 16X2 1,Otros insumos,0.25,187.61,Reconstruido/observado
Tc Plana 3 16X2 3,Otros insumos,0.75,459.8825,Reconstruido/observado
Te Verde Antiox 500 Ml Bot,Otros insumos,0.25,175.885,Reconstruido/observado
Tee sanitaria,Plomería sanitaria,5.0,15603.533333333333,Reconstruido/observado
"Terminal Caf 1""",Otros insumos,2.5,2297.2000000000003,Reconstruido/observado
Thinner / diluyente,Pintura,4.25,28836.958333333332,Reconstruido/observado
Tinte / sellador madera,Pintura madera,1.25,18925.0475,Reconstruido/observado
Tiro fijación,Ferretería,126.0,8730.54,Reconstruido/observado
To Carroceria 1/4 X 1 1/4,Otros insumos,2.5,69.125,Reconstruido/observado
To Carroceria 5/16 X 1,Otros insumos,2.5,125.0,Reconstruido/observado
Toallero / accesorio baño,Sanitarios,0.25,1160.84,Reconstruido/observado
Tope puerta,Puertas y cerraduras,4.333333333333333,15803.236666666666,Reconstruido/observado
"Torlac Pf 8X1/2"" 5",Otros insumos,0.75,1243.1399999999999,Reconstruido/observado
"Torlack Pf 8X1/2""",Otros insumos,2.0,359.3,Reconstruido/observado
Torn Ensamb 6X1 1/,Otros insumos,2.0,1349.2666666666667,Reconstruido/observado
Torn Original 6 X 20 Blanco Au18807-U,Otros insumos,0.5,219.415,Reconstruido/observado
Tornillo / fijación,Ferretería,299.0,85432.70000000001,Reconstruido/observado
Trampa de grasa,Plomería sanitaria,0.25,1725.6624999999997,Reconstruido/observado
Transmisor Fm Blue,Otros insumos,0.25,1736.7249999999997,Reconstruido/observado
Transporte / flete,Servicios,5.916666666666667,235973.45833333334,Reconstruido/observado
Trident Slab White Yerba,Otros insumos,0.25,94.02749999999999,Reconstruido/observado
Trident Value Pack Freshmint,Otros insumos,0.25,232.30000000000004,Reconstruido/observado
Trident Vlp Yerbab,Otros insumos,0.5,553.095,Reconstruido/observado
Tubería PVC / CPVC,Plomería,6.25,42566.2275,Reconstruido/observado
Tubo estructural 100x100,Estructura metálica,5.5,89848.39833333333,Reconstruido/observado
Tubo estructural 50x150,Estructura metálica,5.75,94668.29333333333,Reconstruido/observado
Tubo estructural 50x50,Estructura metálica,6.25,51283.79833333333,Reconstruido/observado
Tubo estructural cuadrado 50x50,Estructura metálica,0.75,5634.2925000000005,Reconstruido/observado
Tubo estructural rectangular 50x150,Estructura metálica,1.0,14886.43,Reconstruido/observado
Tubo industrial metálico,Estructura metálica,5.25,18388.853333333333,Reconstruido/observado
Vari Coope 2 4 5/8,Otros insumos,0.25,2364.6025,Reconstruido/observado
Vari Coope 2.4 5/8,Otros insumos,0.5,4729.205,Reconstruido/observado
Varilla #3,Acero refuerzo,72.66666666666667,105081.23,Reconstruido/observado
Varilla #4,Acero refuerzo,1.3333333333333333,3043.066666666667,Reconstruido/observado
Varilla refuerzo,Acero refuerzo,3.0,8225.966666666667,Reconstruido/observado
Vidrio / espejo,Vidrios,2.6666666666666665,3228.3199999999997,Reconstruido/observado
Yee sanitaria,Plomería sanitaria,0.75,4809.588333333334,Reconstruido/observado
Zacate block,Exteriores,90.0,128809.43333333333,Reconstruido/observado
